model,setup,run_type,experiment,scope,value
gpt-oss-high,B-query,rob,E1,avg,2.1667
gpt-oss-high,B-query,rob,E1,P1,2.9259
gpt-oss-high,B-query,rob,E1,P2,1.4074
gpt-oss-high,B-query,rob,E2,avg,2.0278
gpt-oss-high,B-query,rob,E2,P1,2.8889
gpt-oss-high,B-query,rob,E2,P2,1.1667
gpt-oss-high,B-query,rob,E3_M,avg,2.4444
gpt-oss-high,B-query,rob,E3_M,P1,1.8889
gpt-oss-high,B-query,rob,E3_M,P2,3.0
gpt-oss-high,B-query,rob,E3_T,avg,2.8333
gpt-oss-high,B-query,rob,E3_T,P1,2.5556
gpt-oss-high,B-query,rob,E3_T,P2,3.1111
gpt-oss-high,B-resolved,det,E1,avg,2.5
gpt-oss-high,B-resolved,det,E1,P1,3.3333
gpt-oss-high,B-resolved,det,E1,P2,1.6667
gpt-oss-high,B-resolved,det,E2,avg,2.0833
gpt-oss-high,B-resolved,det,E2,P1,2.8333
gpt-oss-high,B-resolved,det,E2,P2,1.3333
gpt-oss-high,B-resolved,det,E3_M,avg,2.6667
gpt-oss-high,B-resolved,det,E3_M,P1,2.3333
gpt-oss-high,B-resolved,det,E3_M,P2,3.0
gpt-oss-high,B-resolved,det,E3_T,avg,2.1667
gpt-oss-high,B-resolved,det,E3_T,P1,1.6667
gpt-oss-high,B-resolved,det,E3_T,P2,2.6667
gpt-oss-high,B-resolved,rob,E1,avg,2.3333
gpt-oss-high,B-resolved,rob,E1,P1,2.8889
gpt-oss-high,B-resolved,rob,E1,P2,1.7778
gpt-oss-high,B-resolved,rob,E2,avg,1.9167
gpt-oss-high,B-resolved,rob,E2,P1,2.8889
gpt-oss-high,B-resolved,rob,E2,P2,0.9444
gpt-oss-high,B-resolved,rob,E3_M,avg,2.5
gpt-oss-high,B-resolved,rob,E3_M,P1,2.0
gpt-oss-high,B-resolved,rob,E3_M,P2,3.0
gpt-oss-high,B-resolved,rob,E3_T,avg,2.6111
gpt-oss-high,B-resolved,rob,E3_T,P1,2.2222
gpt-oss-high,B-resolved,rob,E3_T,P2,3.0
gpt-oss-high,C,det,E1,avg,2.8333
gpt-oss-high,C,det,E1,P1,3.3333
gpt-oss-high,C,det,E1,P2,2.3333
gpt-oss-high,C,det,E2,avg,1.9167
gpt-oss-high,C,det,E2,P1,3.1667
gpt-oss-high,C,det,E2,P2,0.6667
gpt-oss-high,C,det,E3_M,avg,3.0
gpt-oss-high,C,det,E3_M,P1,3.0
gpt-oss-high,C,det,E3_M,P2,3.0
gpt-oss-high,C,det,E3_T,avg,3.6667
gpt-oss-high,C,det,E3_T,P1,3.6667
gpt-oss-high,C,det,E3_T,P2,3.6667
gpt-oss-high,C,rob,E1,avg,2.9259
gpt-oss-high,C,rob,E1,P1,3.3704
gpt-oss-high,C,rob,E1,P2,2.4815
gpt-oss-high,C,rob,E2,avg,1.9167
gpt-oss-high,C,rob,E2,P1,2.8333
gpt-oss-high,C,rob,E2,P2,1.0
gpt-oss-high,C,rob,E3_M,avg,2.9444
gpt-oss-high,C,rob,E3_M,P1,2.8889
gpt-oss-high,C,rob,E3_M,P2,3.0
gpt-oss-high,C,rob,E3_T,avg,3.4444
gpt-oss-high,C,rob,E3_T,P1,3.2222
gpt-oss-high,C,rob,E3_T,P2,3.6667
qwen3-32B,A,det,E1,avg,2.25
qwen3-32B,A,det,E1,P1,2.8889
qwen3-32B,A,det,E1,P2,1.6111
qwen3-32B,A,det,E2,avg,2.125
qwen3-32B,A,det,E2,P1,3.25
qwen3-32B,A,det,E2,P2,1.0
qwen3-32B,A,det,E3_M,avg,3.0
qwen3-32B,A,det,E3_M,P1,3.0
qwen3-32B,A,det,E3_M,P2,3.0
qwen3-32B,A,det,E3_T,avg,3.8333
qwen3-32B,A,det,E3_T,P1,4.0
qwen3-32B,A,det,E3_T,P2,3.6667
qwen3-32B,A,rob,E1,avg,1.4815
qwen3-32B,A,rob,E1,P1,1.963
qwen3-32B,A,rob,E1,P2,1.0
qwen3-32B,A,rob,E2,avg,1.5278
qwen3-32B,A,rob,E2,P1,2.0
qwen3-32B,A,rob,E2,P2,1.0556
qwen3-32B,A,rob,E3_M,avg,2.8889
qwen3-32B,A,rob,E3_M,P1,2.7778
qwen3-32B,A,rob,E3_M,P2,3.0
qwen3-32B,A,rob,E3_T,avg,3.4444
qwen3-32B,A,rob,E3_T,P1,3.3333
qwen3-32B,A,rob,E3_T,P2,3.5556
qwen3-32B,B-query,det,E1,avg,1.3056
qwen3-32B,B-query,det,E1,P1,2.1111
qwen3-32B,B-query,det,E1,P2,0.5
qwen3-32B,B-query,det,E2,avg,0.6667
qwen3-32B,B-query,det,E2,P1,1.1667
qwen3-32B,B-query,det,E2,P2,0.1667
qwen3-32B,B-query,det,E3_M,avg,1.8333
qwen3-32B,B-query,det,E3_M,P1,1.3333
qwen3-32B,B-query,det,E3_M,P2,2.3333
qwen3-32B,B-query,det,E3_T,avg,2.8333
qwen3-32B,B-query,det,E3_T,P1,2.3333
qwen3-32B,B-query,det,E3_T,P2,3.3333
qwen3-32B,B-query,rob,E1,avg,1.8148
qwen3-32B,B-query,rob,E1,P1,2.1111
qwen3-32B,B-query,rob,E1,P2,1.5185
qwen3-32B,B-query,rob,E2,avg,1.2778
qwen3-32B,B-query,rob,E2,P1,1.6667
qwen3-32B,B-query,rob,E2,P2,0.8889
qwen3-32B,B-query,rob,E3_M,avg,1.7222
qwen3-32B,B-query,rob,E3_M,P1,1.3333
qwen3-32B,B-query,rob,E3_M,P2,2.1111
qwen3-32B,B-query,rob,E3_T,avg,2.3333
qwen3-32B,B-query,rob,E3_T,P1,1.8889
qwen3-32B,B-query,rob,E3_T,P2,2.7778
qwen3-32B,B-resolved,det,E1,avg,1.8611
qwen3-32B,B-resolved,det,E1,P1,2.2222
qwen3-32B,B-resolved,det,E1,P2,1.5
qwen3-32B,B-resolved,det,E2,avg,1.6667
qwen3-32B,B-resolved,det,E2,P1,2.3333
qwen3-32B,B-resolved,det,E2,P2,1.0
qwen3-32B,B-resolved,det,E3_M,avg,2.6667
qwen3-32B,B-resolved,det,E3_M,P1,2.3333
qwen3-32B,B-resolved,det,E3_M,P2,3.0
qwen3-32B,B-resolved,det,E3_T,avg,3.3333
qwen3-32B,B-resolved,det,E3_T,P1,3.3333
qwen3-32B,B-resolved,det,E3_T,P2,3.3333
qwen3-32B,B-resolved,rob,E1,avg,1.3519
qwen3-32B,B-resolved,rob,E1,P1,1.8148
qwen3-32B,B-resolved,rob,E1,P2,0.8889
qwen3-32B,B-resolved,rob,E2,avg,1.3056
qwen3-32B,B-resolved,rob,E2,P1,2.1111
qwen3-32B,B-resolved,rob,E2,P2,0.5
qwen3-32B,B-resolved,rob,E3_M,avg,2.3889
qwen3-32B,B-resolved,rob,E3_M,P1,2.0
qwen3-32B,B-resolved,rob,E3_M,P2,2.7778
qwen3-32B,B-resolved,rob,E3_T,avg,3.0556
qwen3-32B,B-resolved,rob,E3_T,P1,2.7778
qwen3-32B,B-resolved,rob,E3_T,P2,3.3333
qwen3-32B,C,det,E1,avg,2.1667
qwen3-32B,C,det,E1,P1,2.3333
qwen3-32B,C,det,E1,P2,2.0
qwen3-32B,C,det,E2,avg,1.6667
qwen3-32B,C,det,E2,P1,1.8333
qwen3-32B,C,det,E2,P2,1.5
qwen3-32B,C,det,E3_M,avg,2.8333
qwen3-32B,C,det,E3_M,P1,3.0
qwen3-32B,C,det,E3_M,P2,2.6667
qwen3-32B,C,det,E3_T,avg,3.3333
qwen3-32B,C,det,E3_T,P1,3.3333
qwen3-32B,C,det,E3_T,P2,3.3333
qwen3-32B,C,rob,E1,avg,2.2037
qwen3-32B,C,rob,E1,P1,2.5926
qwen3-32B,C,rob,E1,P2,1.8148
qwen3-32B,C,rob,E2,avg,1.8056
qwen3-32B,C,rob,E2,P1,2.8889
qwen3-32B,C,rob,E2,P2,0.7222
qwen3-32B,C,rob,E3_M,avg,2.6667
qwen3-32B,C,rob,E3_M,P1,2.7778
qwen3-32B,C,rob,E3_M,P2,2.5556
qwen3-32B,C,rob,E3_T,avg,3.5556
qwen3-32B,C,rob,E3_T,P1,3.5556
qwen3-32B,C,rob,E3_T,P2,3.5556
